Brand,Car Model,Mileage Drove,City,Price,Member,How Long Ago
Mitsubishi,Mitsubishi l200 Double Cabin 2022,"18,000 km",Dhaka,"Tk 6,150,000",Yes,Not given
Lexus,Lexus NX 300F SPORT PKG BLACK 2019,"19,905 km",Dhaka,"Tk 9,150,000",Yes,Not given
Toyota,Toyota Allion Sports version 2012,"95,000 km",Dhaka,"Tk 2,150,000",No,Not given
Toyota,Toyota Corolla X 2003,"78,114 km",Dhaka,"Tk 920,000",Yes,Not given
Toyota,Toyota Corsa 1993,"10,000 km",Dhaka,"Tk 450,000",No,Not given
Toyota,Toyota Corolla 111 15 Serial 1997,"283,000 km",Rajshahi,"Tk 530,000",No,Not given
Toyota,Toyota Axio Fresh Condition 2013,"79,000 km",Dhaka,"Tk 1,660,000",Yes,Not given
Toyota,Toyota Premio Fresh Condition 2012,"78,000 km",Dhaka,"Tk 2,280,000",Yes,Not given
Toyota,Toyota Premio Pearl Colour 2010,"68,000 km",Dhaka,"Tk 2,130,000",Yes,Not given
Toyota,Toyota Prius S PACKAGE 2020,"71,574 km",Dhaka,"Tk 3,150,000",Yes,Not given
Toyota,Toyota C-HR G-LED Reg: 2022 2017,"71,264 km",Dhaka,"Tk 2,580,000",Yes,Not given
Toyota,Toyota Auris 2006,"84,000 km",Dhaka,"Tk 1,250,000",No,Not given
Toyota,Toyota Fielder G-Edition 2005,"84,326 km",Dhaka,"Tk 1,280,000",Yes,Not given
Toyota,Toyota Prius A package 2019,"61,000 km",Dhaka,"Tk 3,100,000",No,Not given
Toyota,"Toyota C-HR G-LED,SHOWROOM READY 2019","109,000 km",Dhaka,"Tk 3,120,000",Yes,Not given
Toyota,Toyota Esquire Gi SPECIAL EDITION 2019,"120,000 km",Dhaka,"Tk 3,350,000",Yes,Not given
Toyota,"Toyota C-HR G- LED , READY STOCK 2019","91,000 km",Dhaka,"Tk 3,120,000",Yes,Not given
Toyota,Toyota Axio 2012,"85,100 km",Dhaka,"Tk 1,570,000",No,Not given
BMW,BMW X3 18 inch crome Alloy 2011,"66,000 km",Dhaka,"Tk 35,000,000",No,Not given
Toyota,Toyota Axio Ex Push start 2019,"31,000 km",Chattogram Division,"Tk 2,540,000",No,Not given
Toyota,Toyota Axio . 2010,"95,000 km",Barishal,"Tk 1,420,000",No,Not given
Toyota,Toyota Corolla X 2005,"120,000 km",Dhaka,"Tk 1,350,000",No,Not given
Toyota,Toyota Corolla G 2005,"75,000 km",Dhaka,"Tk 1,250,000",No,Not given
Mitsubishi,Mitsubishi Lancer ই এক্স ১৫০০ সিসি 2011,"79,000 km",Dhaka,"Tk 1,790,000",Yes,Not given
Honda,Honda Vezel z package 2014,"75,100 km",Dhaka,"Tk 1,720,000",No,Not given
Toyota,Toyota Noah X 2010,"75,000 km",Dhaka,"Tk 1,880,000",Yes,Not given
Toyota,Toyota Corolla 2002,"125,000 km",Dhaka,"Tk 399,000",No,Not given
Toyota,Toyota RAV4 . 2005,150 km,Sylhet,"Tk 1,100,000",No,Not given
Toyota,Toyota TownAce DX 2008,"820,000 km",Dhaka,"Tk 590,000",No,Not given
Toyota,Toyota Allion . 2004,"200,000 km",Dhaka,"Tk 1,350,000",No,Not given
Toyota,Toyota Axio X Edition 2010,"90,000 km",Dhaka,"Tk 1,460,000",No,Not given
Toyota,Toyota Axio 2014,"100,000 km",Dhaka,"Tk 1,500,000",No,Not given
Toyota,Toyota Corolla Cross Z Package 2021,"9,400 km",Dhaka,"Tk 4,330,000",No,Not given
Toyota,Toyota Allion A15 2009,"78,000 km",Rajshahi Division,"Tk 1,700,000",No,Not given
Toyota,Toyota Allion 2012,"73,000 km",Dhaka,"Tk 2,200,000",No,Not given
Toyota,Toyota Axio . 2008,"407,233 km",Dhaka,"Tk 1,300,000",No,Not given
Nissan,"Nissan X-Trail Hybrid, Sunroof 2015","87,000 km",Dhaka,"Tk 2,600,000",No,Not given
Toyota,Toyota Allion (Octane) 2008,"79,000 km",Dhaka,"Tk 1,895,000",No,Not given
Toyota,Toyota Fielder . 2014,"120,000 km",Dhaka,"Tk 1,650,000",No,Not given
Toyota,Toyota Axio X 2014,"83,000 km",Dhaka,"Tk 1,760,000",No,Not given
Toyota,Toyota Passo 2008,"54,000 km",Dhaka,"Tk 730,000",No,Not given
Toyota,Toyota Premio F-EX RED WINE 2015,"49,000 km",Dhaka,"Tk 2,750,000",No,Not given
Toyota,Toyota Axio X 2011,"85,020 km",Dhaka,"Tk 1,550,000",No,Not given
Toyota,Toyota Axio X 2013,"87,400 km",Dhaka,"Tk 1,590,000",No,Not given
Toyota,Toyota Allion . 2012,"120,000 km",Dhaka,"Tk 1,980,000",No,Not given
Toyota,Toyota Fielder X 2004,"70,000 km",Dhaka,"Tk 1,060,000",No,Not given
Honda,Honda CR-V Ex Masterpiece 2019,"29,434 km",Dhaka,"Tk 5,950,000",No,Not given
Toyota,Toyota Premio . 2007,"76,000 km",Dhaka,"Tk 1,850,000",No,Not given
Toyota,Toyota Premio . 2002,"85,000 km",Rangpur Division,"Tk 1,280,000",No,Not given
Toyota,Toyota Wagon 100 . 2001,"115,000 km",Dhaka,"Tk 380,000",No,Not given
Toyota,Toyota Axio Corella G Grade 2012,"72,450 km",Dhaka,"Tk 1,610,000",No,Not given
Toyota,Toyota Axio . 2014,"85,450 km",Dhaka,"Tk 1,710,009",No,Not given
Toyota,Toyota Prius With Sunroof 2016,"121,000 km",Dhaka,"Tk 2,590,000",No,Not given
Toyota,Toyota Allion CR 23.REG 2010.MODEL 2007,"77,000 km",Dhaka,"Tk 1,750,000",No,Not given
Toyota,Toyota Axio CR 35.REG 2014.MODEL 2010,"89,000 km",Dhaka,"Tk 1,480,000",No,Not given
Toyota,Toyota Esquire GI Premium 2018,"55,000 km",Rangpur,"Tk 1,700,000",No,Not given
Toyota,Toyota Allion A 15 2013,"52,444 km",Dhaka,"Tk 2,300,000",No,Not given
Toyota,Toyota Allion G pkg 2006,"87,238 km",Dhaka,"Tk 1,470,000",No,Not given
Toyota,Toyota Probox GL 2011,"76,000 km",Dhaka,"Tk 1,050,000",No,Not given
Toyota,Toyota Allion A 15 G Pkg LPG 2007,"67,500 km",Dhaka,"Tk 1,600,000",Yes,Not given
Toyota,Toyota Prius S SEFTY/603 2019,"75,000 km",Dhaka,"Tk 2,970,000",Yes,4 minutes
Toyota,Toyota Fielder push start 2012,"74,000 km",Chattogram,"Tk 1,820,000",Yes,4 minutes
Toyota,Toyota Corolla X 2004,"92,000 km",Dhaka,"Tk 1,220,000",Yes,8 minutes
Toyota,Toyota Allion wine 2004,"89,000 km",Chattogram,"Tk 1,250,000",Yes,8 minutes
Honda,Honda Civic black 2012,"53,000 km",Chattogram,"Tk 1,250,000",Yes,12 minutes
Toyota,Toyota Avanza gray 2010,"89,000 km",Chattogram,"Tk 1,380,000",Yes,12 minutes
Toyota,Toyota Axio EX PKG 2019,"21,000 km",Chattogram,"Tk 2,500,000",Yes,12 minutes
Toyota,Toyota Corolla x 2003,"85,000 km",Chattogram,"Tk 1,150,000",Yes,12 minutes
Toyota,Toyota Premio fex 2017,"43,000 km",Chattogram,"Tk 3,450,000",Yes,14 minutes
